tweet_id,favorites,retweet_count
850145622816686080,15943,3673
850019790995546112,19918,4716
849776966551130114,29674,7341
849668094696017920,0,4792
849412302885593088,15512,3059
849336543269576704,11167,1841
849051919805034497,41380,8220
848690551926992896,24639,4197
848324959059550208,24177,4493
848213670039564288,8006,706
848212111729840128,15990,2945
847978865427394560,0,3159
847971574464610304,0,420
847962785489326080,23041,4922
847842811428974592,5325,1287
847617282490613760,6844,402
847606175596138505,18417,3342
847251039262605312,20099,4208
847157206088847362,19521,5711
847116187444137987,21072,3098
846874817362120707,19722,3826
846514051647705089,43767,11232
846505985330044928,13848,2992
846153765933735936,31008,8806
846139713627017216,30508,9788
846042936437604353,15698,2791
845812042753855489,28695,8470
845677943972139009,24769,4686
845397057150107648,7498,1755
845306882940190720,22954,5263
845098359547420673,0,7468
844979544864018432,13422,2491
844973813909606400,14824,3104
844580511645339650,16215,3047
844223788422217728,13465,2150
843981021012017153,14962,2890
843856843873095681,21137,4522
843604394117681152,16637,2683
843235543001513987,21212,5892
842846295480000512,15087,3564
842765311967449089,6644,1248
842535590457499648,17872,3439
842163532590374912,24115,5671
842115215311396866,13800,2977
841833993020538882,0,14761
841680585030541313,25432,7666
841439858740625411,12493,3612
841320156043304961,19572,5406
841314665196081154,15671,4561
841077006473256960,22576,5214
840761248237133825,0,1735
840728873075638272,0,15816
840698636975636481,174,2
840696689258311684,12153,956
840632337062862849,8891,1735
840370681858686976,16260,4478
840268004936019968,19054,5624
839990271299457024,13282,2238
839549326359670784,27182,7626
839290600511926273,0,141
839239871831150596,26848,6428
838952994649550848,19463,3931
838921590096166913,11037,2025
838916489579200512,0,35
838831947270979586,0,10838
838561493054533637,10855,1317
838476387338051585,22286,4700
838201503651401729,0,9892
838150277551247360,1657,326
838085839343206401,139,1
838083903487373313,17453,3086
837820167694528512,33786,7748
837482249356513284,3822,437
837471256429613056,12672,2242
837110210464448512,15934,2337
836989968035819520,12659,2269
836753516572119041,19194,4589
836677758902222849,12534,2200
836648853927522308,0,551
836397794269200385,0,27170
836380477523124226,14667,2954
836260088725786625,21161,4255
836001077879255040,18959,4207
835685285446955009,0,8044
835574547218894849,17668,3578
835536468978302976,0,1675
835309094223372289,0,20696
835297930240217089,16369,2980
835264098648616962,7686,1675
835246439529840640,2086,73
835172783151792128,26006,5703
835152434251116546,22259,2981
834931633769889797,10735,1622
834786237630337024,21250,5441
834574053763584002,13575,2505
834477809192075265,0,10525
834458053273591808,9565,1664
834209720923721728,20461,4702
834167344700198914,15730,3628
834089966724603904,9986,2112
834086379323871233,12990,2188
833863086058651648,13360,2387
833826103416520705,17978,3742
833732339549220864,0,221
833722901757046785,20726,3190
833479644947025920,14790,2036
833124694597443584,20090,4792
832998151111966721,13189,2186
832769181346996225,0,39
832757312314028032,16792,3593
832682457690300417,11824,2884
832645525019123713,2913,525
832636094638288896,15784,2762
832397543355072512,11920,2199
832369877331693569,17125,3159
832273440279240704,11319,2325
832215909146226688,0,6166
832215726631055365,0,9254
832088576586297345,62,2
832040443403784192,0,9549
832032802820481025,17790,4623
831939777352105988,23887,6093
831926988323639298,334,34
831911600680497154,27496,6457
831670449226514432,10394,1804
831650051525054464,7101,1915
831552930092285952,8948,2302
831322785565769729,9253,1539
831315979191906304,6523,1120
831309418084069378,11725,2451
831262627380748289,11871,2031
830956169170665475,7949,1490
830583320585068544,66602,16658
830173239259324417,0,5651
830097400375152640,9763,2916
829878982036299777,0,4976
829861396166877184,12209,1927
829501995190984704,31652,10525
829449946868879360,10447,2007
829141528400556032,24336,7295
829011960981237760,53085,16231
828801551087042563,0,3404
828770345708580865,25536,5836
828708714936930305,36428,11120
828650029636317184,9485,1338
828409743546925057,6344,1163
828408677031882754,7664,1285
828381636999917570,12566,2207
828376505180889089,7371,1063
828372645993398273,12553,2923
828361771580813312,2193,173
828046555563323392,11734,2866
828011680017821696,10347,2142
827933404142436356,20075,5230
827653905312006145,15486,3016
827600520311402496,7452,937
827324948884643840,15834,3030
827199976799354881,10573,2215
826958653328592898,21552,4976
826848821049180160,36319,10116
826615380357632002,0,3979
826598799820865537,5127,250
826598365270007810,10046,2332
826476773533745153,18401,4181
826240494070030336,13300,2601
826204788643753985,4882,922
826115272272650244,15649,3104
825876512159186944,10491,1865
825829644528148480,12747,2484
825535076884762624,56898,17553
825147591692263424,18300,4537
825120256414846976,0,1250
825026590719483904,6309,1250
824796380199809024,0,5489
824775126675836928,14923,3506
824663926340194305,10530,1775
824325613288833024,11859,10532
824297048279236611,15078,3852
824025158776213504,4837,602
823939628516474880,10643,2707
823719002937630720,0,11182
823699002998870016,14016,2519
823581115634085888,13048,2621
823333489516937216,701,24
823322678127919110,15755,4017
823269594223824897,0,9886
822975315408461824,17359,3448
822872901745569793,131743,43215
822859134160621569,13291,2272
822647212903690241,0,6407
822610361945911296,14844,2955
822489057087389700,18211,6407
822462944365645825,28059,14295
822244816520155136,35031,9886
822163064745328640,0,4769
821886076407029760,11344,2306
821813639212650496,0,3365
821765923262631936,8430,1661
821522889702862852,8054,1762
821421320206483457,0,5596
821407182352777218,11803,4342
821153421864615936,257,10
821149554670182400,8662,1978
821107785811234820,9632,2136
821044531881721856,12708,2284
820837357901512704,0,6738
820749716845686786,31661,9892
820690176645140481,12264,3234
820494788566847489,0,566
